,center_card,cards_pickUp,what_played,total_red,total_green,total_blue,total_yellow
0,"[['Green', '4'], ['Blue', '9'], ['Yellow', '5'], ['Red', '8'], ['Yellow', 'Reverse'], ['Green', '5']]",102,[],0,0,0,0
1,"[['Red', '6'], ['Wild', 'Wild'], ['Wild', 'Wild'], ['Yellow', '9'], ['Red', 'Reverse'], ['Yellow', '7']]",102,[],0,0,0,0
2,"[['Green', '6'], ['Red', '7'], ['Red', '7'], ['Yellow', '4'], ['Blue', '5']]",105,[],0,0,0,0
3,"[['Green', '9'], ['Blue', '4'], ['Red', '7'], ['Wild', 'Wild'], ['Wild', 'Four'], ['Green', '5'], ['Blue', '0'], ['Blue', '0'], ['Blue', '5'], ['Wild', 'Wild'], ['Yellow', 'Reverse'], ['Red', '5'], ['Green', 'Reverse'], ['Yellow', '9'], ['Yellow', '9'], ['Blue', '4'], ['Red', '3'], ['Green', '1'], ['Wild', 'Wild']]",118,[],0,0,0,0
4,"[['Green', '5'], ['Yellow', '8']]",103,[],0,0,0,0
5,"[['Blue', '8'], ['Blue', 'Reverse'], ['Blue', '2'], ['Green', '9'], ['Red', '3'], ['Red', '7'], ['Blue', '3']]",102,[],0,0,0,0
6,"[['Green', '7'], ['Red', '8'], ['Blue', '9'], ['Yellow', '3'], ['Yellow', 'Reverse'], ['Blue', 'Reverse'], ['Red', 'Reverse'], ['Red', 'Reverse'], ['Red', '2'], ['Red', '9'], ['Yellow', '9'], ['Red', '4'], ['Green', 'Reverse'], ['Blue', '8'], ['Blue', '7'], ['Green', '8'], ['Green', '9'], ['Red', '2'], ['Red', '5'], ['Yellow', 'Reverse']]",115,[],0,0,0,0
7,"[['Yellow', 'Reverse'], ['Wild', 'Wild'], ['Yellow', '6'], ['Yellow', '0'], ['Green', 'Reverse'], ['Yellow', 'Reverse'], ['Blue', '1'], ['Red', '9'], ['Red', 'Reverse'], ['Wild', 'Wild'], ['Yellow', '9'], ['Green', '5'], ['Wild', 'Four'], ['Green', 'Reverse'], ['Blue', '2'], ['Yellow', '2'], ['Yellow', '8'], ['Yellow', '6'], ['Blue', '8'], ['Red', '0'], ['Red', '3'], ['Red', '0'], ['Blue', '8'], ['Wild', 'Wild'], ['Green', '2'], ['Red', '6'], ['Blue', '5'], ['Yellow', '1']]",91,[],0,0,0,0
8,"[['Red', 'Reverse'], ['Yellow', 'Reverse'], ['Green', '1'], ['Green', 'Reverse'], ['Blue', '0'], ['Yellow', '3'], ['Red', '1'], ['Red', '5'], ['Yellow', 'Reverse'], ['Yellow', '2'], ['Red', '8'], ['Wild', 'Four'], ['Blue', '4'], ['Wild', 'Wild'], ['Green', '7'], ['Green', '4'], ['Blue', '5'], ['Yellow', '9'], ['Blue', '3'], ['Blue', 'Reverse'], ['Green', '9'], ['Red', '9'], ['Blue', '3'], ['Blue', 'Reverse'], ['Green', 'Reverse'], ['Blue', 'Reverse'], ['Yellow', '6'], ['Yellow', 'Reverse'], ['Red', '8'], ['Red', '4'], ['Green', '3'], ['Wild', 'Wild'], ['Green', '6'], ['Yellow', '8'], ['Yellow', 'Reverse'], ['Blue', '2'], ['Red', '7'], ['Red', '0'], ['Blue', '3'], ['Yellow', 'Reverse'], ['Red', '0'], ['Red', '7'], ['Yellow', '5'], ['Green', '2'], ['Red', '8'], ['Green', 'Reverse'], ['Blue', '4']]",119,[],0,0,0,0
9,"[['Yellow', '3'], ['Yellow', '6'], ['Yellow', '6'], ['Blue', '9'], ['Yellow', '6'], ['Yellow', '6'], ['Yellow', '6'], ['Red', '4'], ['Green', '3'], ['Red', '3']]",100,[],0,0,0,0
